2014-03-19 12:59:47,865| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3283 14th - -0.07994390 Date 2012-06-18 00:00:00.0
2014-03-19 12:59:47,865| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3283 15th - 0.07972270 Date 2009-03-25 00:00:00.0
2014-03-19 12:59:47,865| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3283 16th - -0.07894737 Date 2009-03-02 00:00:00.0
2014-03-19 12:59:47,866| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3283 17th - -0.07780508 Date 2013-06-24 00:00:00.0
2014-03-19 12:59:47,866| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3283 18th - 0.07629830 Date 2012-10-17 00:00:00.0
2014-03-19 12:59:47,866| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3283 19th - 0.07561930 Date 2002-06-11 00:00:00.0
2014-03-19 12:59:47,867| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3283 20th - 0.07540984 Date 2008-12-10 00:00:00.0
2014-03-19 12:59:47,867| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3283 21th - 0.07452991 Date 2012-07-26 00:00:00.0
2014-03-19 12:59:47,867| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3283 22th - -0.07440667 Date 2012-07-24 00:00:00.0
2014-03-19 12:59:47,868| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3283 23th - -0.07376426 Date 2010-06-21 00:00:00.0
